Feature,Importance
cloudcover,0.15924124
conditions,0.10611298
uvindex,0.058017388
tempmin,0.057573434
sealevelpressure,0.05191959
temp_lag_2,0.045680296
windspeed_lag_1,0.042240098
humidity_lag_2,0.042168
visibility,0.03571833
humidity_lag_1,0.03323838
feelslikemin,0.032368742
temp_lag_8,0.030083999
stations,0.028015306
windspeed_lag_2,0.02526225
feelslike,0.025177632
windspeed,0.02422601
humidity_lag_4,0.018761635
precipprob,0.014739
temp_lag_4,0.014625683
temp_lag_1,0.01304311
windspeed_lag_4,0.010487749
solarradiation,0.010169319
humidity,0.009807423
humidity_lag_8,0.00921771
precip_lag_1,0.008961117
temp,0.008772684
precip_lag_4,0.008672865
solarradiation_lag_1,0.008544712
precip_lag_8,0.007501639
winddir,0.007316356
precip_lag_2,0.0072100875
solarenergy,0.0070235156
precipcover,0.0063949013
dew,0.0059100646
precip,0.005850802
solarradiation_lag_2,0.0057434305
solarradiation_lag_4,0.005738924
tempmax,0.004311587
feelslikemax,0.0041520614
snowdepth,0.0
snow,0.0
